tweets,Date
2236001,February 27 2021
948835,February 27 2022
2145457,February 28 2021
1085424,February 28 2022
3038662,January 01 2021
2263408,January 01 2022
3250694,January 02 2021
2573288,January 02 2022
3501229,January 03 2021
3001920,January 03 2022
3727421,January 04 2021
3346576,January 04 2022
3917006,January 05 2021
3411574,January 05 2022
3522571,January 06 2021
3029310,January 06 2022
2801003,January 07 2021
3362467,January 07 2022
2975849,January 08 2021
3115217,January 08 2022
1620906,January 09 2021
2996023,January 09 2022
2542852,January 10 2021
3390261,January 10 2022
3156856,January 11 2021
3348707,January 11 2022
3512165,January 12 2021
3230398,January 12 2022
2855503,January 13 2021
3129431,January 13 2022
3613526,January 14 2021
2802079,January 14 2022
3408359,January 15 2021
2280782,January 15 2022
3348871,January 16 2021
2255273,January 16 2022
2764179,January 17 2021
2276494,January 17 2022
3099138,January 18 2021
2710592,January 18 2022
3209091,January 19 2021
2916426,January 19 2022
2565068,January 20 2021
2159107,January 20 2022
3284309,January 21 2021
2233715,January 21 2022
3145448,January 22 2021
2113017,January 22 2022
3031831,January 23 2021
2023746,January 23 2022
3146166,January 24 2021
2353432,January 24 2022
2829646,January 25 2021
2357783,January 25 2022
3410745,January 26 2021
2090226,January 26 2022
3215574,January 27 2021
2248885,January 27 2022
2968589,January 28 2021
2072883,January 28 2022
3019460,January 29 2021
1797616,January 29 2022
2900875,January 30 2021
1632216,January 30 2022
2868843,January 31 2021
2279466,January 31 2022
4365171,July 01 2020
1743817,July 01 2021
786575,July 01 2022
3563659,July 02 2020
1635985,July 02 2021
678182,July 02 2022
3446100,July 03 2020
1394830,July 03 2021
710717,July 03 2022
4076176,July 04 2020
1533309,July 04 2021
679277,July 04 2022
3827904,July 05 2020
2092808,July 05 2021
820978,July 05 2022
3991881,July 06 2020
2286009,July 06 2021
905057,July 06 2022
4104245,July 07 2020
2212384,July 07 2021
914388,July 07 2022
4032945,July 08 2020
2276751,July 08 2021
886670,July 08 2022
3912560,July 09 2020
2248948,July 09 2021
683981,July 09 2022
4024227,July 10 2020
2287425,July 10 2021
672820,July 10 2022
3746316,July 11 2020
2564105,July 11 2021
821572,July 11 2022
3902393,July 12 2020
2491841,July 12 2021
908829,July 12 2022
4045441,July 13 2020
2562066,July 13 2021
1015808,July 13 2022
4130726,July 14 2020
2488859,July 14 2021
905634,July 14 2022
4106648,July 15 2020
2544660,July 15 2021
807344,July 15 2022
4083573,July 16 2020
2836827,July 16 2021
688810,July 16 2022
4014323,July 17 2020
3015929,July 17 2021
739433,July 17 2022
3639620,July 18 2020
2834000,July 18 2021
865879,July 18 2022
3600404,July 19 2020
3252210,July 19 2021
846247,July 19 2022
3777908,July 20 2020
3209181,July 20 2021
869218,July 20 2022
3771150,July 21 2020
3172117,July 21 2021
1413399,July 21 2022
3691852,July 22 2020
3142297,July 22 2021
1019541,July 22 2022
3661885,July 23 2020
3006046,July 23 2021
720200,July 23 2022
3621819,July 24 2020
2767396,July 24 2021
682079,July 24 2022
3512553,July 25 2020
2516341,July 25 2021
805074,July 25 2022
3399349,July 26 2020
2764919,July 26 2021
897913,July 26 2022
3889978,July 27 2020
2943875,July 27 2021
826308,July 27 2022
4167168,July 28 2020
3223114,July 28 2021
869574,July 28 2022
4007131,July 29 2020
3363142,July 29 2021
777573,July 29 2022
3968762,July 30 2020
3394472,July 30 2021
804010,July 30 2022
3867434,July 31 2020
2966261,July 31 2021
796388,July 31 2022
3206132,June 01 2020
2263802,June 01 2021
689834,June 01 2022
3206417,June 02 2020
2466702,June 02 2021
809387,June 02 2022
3256225,June 03 2020
2228357,June 03 2021
802733,June 03 2022
2205123,June 04 2020
2230290,June 04 2021
636936,June 04 2022
3381184,June 05 2020
1696341,June 05 2021
691121,June 05 2022
3194500,June 06 2020
1730992,June 06 2021
1019777,June 06 2022
2768780,June 07 2020
2216828,June 07 2021
802154,June 07 2022
3032227,June 08 2020
1964917,June 08 2021
750329,June 08 2022
2984970,June 09 2020
2115721,June 09 2021
698062,June 09 2022
3068002,June 10 2020
2195729,June 10 2021
722675,June 10 2022
3261215,June 11 2020
1974182,June 11 2021
632710,June 11 2022
3378901,June 12 2020
1644625,June 12 2021
657000,June 12 2022
3011103,June 13 2020
1825748,June 13 2021
791437,June 13 2022
3154328,June 14 2020
1993867,June 14 2021
839976,June 14 2022
3837552,June 15 2020
1998621,June 15 2021
892825,June 15 2022
3889262,June 16 2020
1911098,June 16 2021
879603,June 16 2022
3688348,June 17 2020
1720542,June 17 2021
840450,June 17 2022
3673328,June 18 2020
1776114,June 18 2021
644627,June 18 2022
3634172,June 19 2020
1535961,June 19 2021
644363,June 19 2022
3610992,June 20 2020
1494594,June 20 2021
750621,June 20 2022
3352643,June 21 2020
2082099,June 21 2021
860788,June 21 2022
3730105,June 22 2020
2020537,June 22 2021
881638,June 22 2022
3936238,June 23 2020
1899583,June 23 2021
860991,June 23 2022
3858387,June 24 2020
1826716,June 24 2021
803677,June 24 2022
3883506,June 25 2020
1911966,June 25 2021
662112,June 25 2022
3941476,June 26 2020
1736779,June 26 2021
594584,June 26 2022
3816987,June 27 2020
1790828,June 27 2021
